,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
2320,1968-04-08,1535,"Heathrow Airport, London, England",British Overseas Airways,Boeing B-707-465,127,116,11,5,4,1,0
2321,1968-04-08,,"Near Coyhaique, Chile",Ladeco,Douglas DC-3,36,33,3,36,33,3,0
2322,1968-04-10,,"Near Mexico City, Mexico",Aerovias Rojas,Douglas DC-3,18,14,4,18,14,4,0
2323,1968-04-19,1045,"Near Cheo Reo, South Vietnam",Military - U.S. Army / Military - U.S. Army,Bell UH-1H / Bell UH-1H (helicopter),26,,,26,,,0
2324,1968-04-20,2050,"Near Windhoek, South-West  Africa (Namibia)",South African Airways,Boeing B-707-344C,128,116,12,123,111,12,0
2325,1968-04-30,,"Near Chaklala, West Pakistan",Military - Pakistan Air Force,Lockheed Martin L-100-10,22,18,4,22,18,4,0
2326,1968-05-03,1548,"Near Dawson, Texas",Braniff Airlines,Lockheed L188A Electra,85,80,5,85,80,5,0
2327,1968-05-12,720,"Kham Duc, Vietnam",Military - U.S. Air Force,Lockheed C-130B Hercules,155,149,6,155,149,6,0
2328,1968-05-22,1651,"Paramount, California",Los Angeles Airways,Sikorsky S-61L helicopter,23,20,3,23,20,3,0
2329,1968-05-28,244,"Near Bombay, India",Garuda Indonesia Airlines,Convair CV-990-30A-5,29,15,14,29,15,14,1
2330,1968-06-12,58,"Calcutta, India",Pan American World Airways,Boeing B-707-321C,63,53,10,6,5,1,0
2331,1968-06-18,1650,"San Sebastian, Spain",Rinaldo Piaggio,Piaggio PD-808,6,5,1,6,5,1,0
2332,1968-06-25,730,"Near Bearcat, South Vietnam",Military - U.S. Army,Bell UH-1H / Bell UH-1H / Bell UH-1H,29,,,29,,,0
2333,1968-06-28,1246,"Vichy, Missouri",Purdue Airlines Inc.,Douglas DC-3 (C-47-DL),27,23,4,1,1,0,0
2334,1968-07-03,,"London, England",BKS Air Transport,Airspeed AS.57 Ambassador 2,8,0,8,6,0,6,0
2335,1968-07-08,,"Near Dhahran, Saudi Arabia",Saudi Arabian Airlines,Convair CV-340-68B,11,8,3,11,8,3,0
2336,1968-07-13,,"Near Lagos, Nigeria",Sabena,Boeing 707-329C,7,2,5,7,2,5,0
2337,1968-07-15,,"Gravata, Brazil",Varig,Curtiss C-46C,3,0,3,3,0,3,0
2338,1968-07-18,,Off Chili,Aerolineas Flecha Austral,Curtiss C-46D,5,0,5,5,0,5,0
2339,1968-08-02,1406,"Near Milan, Italy",Alitalia,McDonnell Douglas DC-8,95,85,10,13,13,0,0
2340,1968-08-04,848,"Milwaukee, Wisconsin",North Central Airlines / Private,Convair CV-580 / Cessna 150,15,10,5,3,2,1,0
2341,1968-08-09,1305,"Pfaffenhofen, Germany",British Eagle International Airlines,Vickers Viscount 739A,48,44,4,48,44,4,0
2342,1968-08-10,757,"Charleston, West Virginia",Piedmont Airlines,Fairchild-Hiller FH-227B,37,34,3,35,32,3,0
2343,1968-08-14,935,"Compton, California",Los Angeles Airways,Sikorsky S-61L helicopter,21,18,3,21,18,3,0
2344,1968-08-18,920,"Off Port Said, Egypt",United Arab Airlines,Antonov AN-24V,40,33,7,40,33,7,0
2345,1968-08-20,130,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,Hawker Siddeley HS-748-215-2,7,4,3,4,2,2,0
2346,1968-08-31,,"Near Odda, Norway",Westwing,de Havilland Canada DHC-3 Otter,6,5,1,5,4,1,0
2347,1968-09-03,2030,"Near Burgas, Bulgaria",Bulair TABSO,Ilyushin IL-18,89,82,7,47,42,5,0
2348,1968-09-08,1455,"Flushing, New York",Far Aviation - Air Taxi / Speeds Flying - Air Taxi,Cessna 402 / Piper PA-28,9,7,2,2,1,1,0
2349,1968-09-11,1034,"Off Cap d'Antibes, France",Air France,Sud-Aviation Caravelle 3,95,89,6,95,89,6,0
2350,1968-09-28,,"Port Harcourt, Biafra, Nigeria",Pan African Airlines,Douglas C-54B,57,55,2,57,55,2,1
2351,1968-10-08,837,"Puerto Cortes, Costa Rica",Aerovias del Valle,Britten-Norman BN-2 Islander,10,9,1,10,9,1,0
2352,1968-10-11,1620,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Avia 14-40,40,36,4,11,8,3,0
2353,1968-10-20,,"Feijó, Brazil",Cruzeiro,Douglas C-47A-25,19,16,3,19,16,3,0
2354,1968-10-21,600,"Near Ban Me Thuot, South Vietnam",Military - U.S. Air Force,Douglas C-47D,23,12,11,23,12,11,0
2355,1968-10-25,1717,"Hanover, New Hampshire",Northeast Airlines,Fairchild-Hiller FH227C,42,39,3,32,30,2,0
2356,1968-11-22,124,"Off San Francisco, California",Japan Air Lines,McDonnell Douglas DC-8-62,107,96,11,0,0,0,0
2357,1968-11-23,1959,"Santa Ana, California",Cable Commuter,de Havilland Canada DHC-6 Twin Otter 200,9,7,2,9,7,2,0
2358,1968-11-25,1533,"Savannakhet, Laos",Air America,Curtiss C-46D-20-CU,28,25,3,26,23,3,0
2359,1968-12-02,936,"Pedro Bay, Alaska",Wien Consolidated Airlines,Fairchild F-27B,39,36,3,39,36,3,0
2360,1968-12-12,2202,"Near Caracas, Venezuela",Pan American World Airways,Boeing B-707-321B,51,42,9,51,42,9,0
2361,1968-12-24,2012,"Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,47,41,6,20,17,3,0
2362,1968-12-24,430,"Prudhoe Bay, Alaska",Interior Airways,Lockheed L-100 Hercules,4,0,4,2,0,2,0
2363,1968-12-26,615,"Elmendorf Air Force Base, Alaska",Pan American World Airways,Boeing 707-321CF,3,0,3,3,0,3,0
2364,1968-12-26,2320,"Ensenada, Mexico",Exportada De Sal S.A.,Douglas DC-3,12,10,2,12,10,2,0
2365,1968-12-27,2022,"Chicago, Illinois",North Central Airlines,Convair CV-580,45,41,4,27,24,3,1
2366,1968-12-31,,"Near Ciudad Victoria, Mexico",Servicios Aéreos Especiales,Douglas DC-3,26,22,4,26,22,4,0
2367,1968-12-31,830,"Port Hedland, WA, Australia",MacRobertson Miller Airlines,Vickers Viscount 720,26,21,5,26,21,5,0
2368,1969-01-02,1243,"Tyonek, Alaska",ERA Helicopter,Bell 205A,2,1,1,2,1,1,0
2369,1969-01-02,2012,"Mt. Paku, Taiwan",China Airlines (Taiwan),Douglas DC-3D,24,19,5,24,19,5,0
2370,1969-01-05,134,"Gatwick Airport, Horley, Surrey,  England",Ariana Afghan Airlines,Boeing B-727-113C,62,54,8,48,43,5,2
2371,1969-01-06,2035,"Near Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,28,25,3,11,9,2,0
2372,1969-01-13,1921,"Off Los Angeles, California",Scandinavian Airlines (SAS),McDonnell Douglas DC-8-62,45,36,9,15,12,3,0
2373,1969-01-16,1345,"Near Hue, Vietnam",Air America,Douglas C-47 Skytrain (DC-3),12,9,3,12,9,3,0
2374,1969-01-18,1821,"Off Los Angeles, California",United Air Lines,Boeing B-727-22QC,38,32,6,38,32,6,0
2375,1969-02-18,510,"Near Lone Pine, California",Mineral County Airlines,Douglas DC-3,35,32,3,35,32,3,0
2376,1969-02-24,,"Tainan, Taiwan",Far Eastern Air Transport,Handley Page Dart Herald 201,36,32,4,36,32,4,0
2377,1969-03-05,1738,"San Juan, Puerto Rico",Prinair,de Havilland DH-114 Heron 2D,19,17,2,19,17,2,0
2378,1969-03-08,,Atlantic Ocean,Continental Air Transport,Douglas DC-4,3,0,3,3,0,3,0
2379,1969-03-13,1552,"Minchumina, Alaska",Wien Consolidated Airlines,de Havilland DHC-6,5,4,1,1,1,0,0
2380,1969-03-16,1400,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,McDonnell Douglas DC-9-32,84,74,10,84,74,10,71
2381,1969-03-20,0200,"Near Aswan, Egypt",United Arab Airlines,Ilyushin IL-18D,105,98,7,100,93,7,0
2382,1969-03-20,655,"New Orleans, Louisiana",Avion Airways,Douglas DC-3,27,24,3,16,13,3,0
